sampleName,sampleClass,featureName,featureClass,mzCenter,rtCenter,integratedIntensity,startRT,endRT
MLMET0137,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,21382,622.07,634.56
MLMET0070,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,140676,622.25,634.73
MLMET0068,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,109707,625.07,637.55
MLMET0164,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,20534,624.96,637.44
MLMET0135,filter,3_Hydroxyanthranilic_acid,ref,160.056,628.5,18533,621.96,634.44
MLMET0186,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,26928,622.11,634.59
MLMET0160,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,26079,624.96,637.44
MLMET0073,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,114857,625.26,637.74
all_ss-r001,stds,3_Hydroxyanthranilic_acid,ref,160.056,628.5,14798,622.8,635.28
MLMET0118,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,57943,622.63,635.11
MLMET0140,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,19001,624.48,636.96
RCY308_control-r002,control,3_Hydroxyanthranilic_acid,ref,160.056,628.5,23731,624.82,637.3
MLMET0166,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,21940,622.63,635.11
MLMET0120,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,50976,622.62,635.1
MLMET0138,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,20106,624.98,637.47
MLMET0066,filter,3_Hydroxyanthranilic_acid,ref,160.056,628.5,82546,625.17,637.65
MLMET0069,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,148623,622.9,635.38
MLMET0124,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,31235,623.06,635.54
MLMET0096,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,52853,625.29,637.77
MLMET0178,filter,3_Hydroxyanthranilic_acid,ref,160.056,628.5,17102,625.29,637.77
MLMET0117,filter,3_Hydroxyanthranilic_acid,ref,160.056,628.5,53175,622.87,635.35
MLMET0184,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,24526,623.14,635.62
MLMET0179,filter,3_Hydroxyanthranilic_acid,ref,160.056,628.5,20790,625.28,637.76
MLMET0071,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,141676,625.13,637.61
MLMET0075,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,113630,622.62,635.1
MLMET0167,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,26646,622.69,635.17
MLMET0072,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,112398,624.94,637.43
MLMET0187,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,27577,624.86,637.34
MLMET0123,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,34286,622.16,634.64
MLMET0136,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,22564,622.17,634.65
MLMET0139,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,15591,626.23,638.71
MLMET0074,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,95452,626.07,638.55
MLMET0098,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,66203,619.16,631.64
MLMET0168,sample,3_Hydroxyanthranilic_acid,ref,160.056,628.5,27481,619.15,631.63
MLMET0119,sample,3_2_Hydroxyethylindole,met,160.077,784.02,43079,759.29,775.77
MLMET0135,filter,3_2_Hydroxyethylindole,met,160.077,784.02,21767,759.25,775.72
MLMET0089,filter,3_2_Hydroxyethylindole,met,160.077,784.02,41679,757.8,774.27
MLMET0180,sample,3_2_Hydroxyethylindole,met,160.077,784.02,19940,757.51,773.98
MLMET0091,sample,3_2_Hydroxyethylindole,met,160.077,784.02,51610,758.36,774.84
MLMET0122,sample,3_2_Hydroxyethylindole,met,160.077,784.02,36060,757.96,774.43
MLMET0185,sample,3_2_Hydroxyethylindole,met,160.077,784.02,24138,756.71,773.18
MLMET0093,sample,3_2_Hydroxyethylindole,met,160.077,784.02,46341,756.84,773.32
MLMET0179,filter,3_2_Hydroxyethylindole,met,160.077,784.02,18800,759.57,776.05
RCY308_control-r002,control,3_2_Hydroxyethylindole,met,160.077,784.02,19296,759.61,776.09
MLMET0182,sample,3_2_Hydroxyethylindole,met,160.077,784.02,24770,757.6,774.08
MLMET0140,sample,3_2_Hydroxyethylindole,met,160.077,784.02,18652,757.77,774.25
MLMET0116,filter,3_2_Hydroxyethylindole,met,160.077,784.02,34831,760.2,776.67
MLMET0120,sample,3_2_Hydroxyethylindole,met,160.077,784.02,36334,759.91,776.38
MLMET0090,filter,3_2_Hydroxyethylindole,met,160.077,784.02,56385,758.31,774.79
MLMET0067,filter,3_2_Hydroxyethylindole,met,160.077,784.02,69429,758.2,774.67
MLMET0068,sample,3_2_Hydroxyethylindole,met,160.077,784.02,89668,759.87,776.34
MLMET0163,sample,3_2_Hydroxyethylindole,met,160.077,784.02,19089,759.48,775.96
MLMET0070,sample,3_2_Hydroxyethylindole,met,160.077,784.02,102455,757.55,774.02
MLMET0123,sample,3_2_Hydroxyethylindole,met,160.077,784.02,27349,757.46,773.93
MLMET0094,sample,3_2_Hydroxyethylindole,met,160.077,784.02,42009,759.69,776.17
MLMET0125,filter,3_2_Hydroxyethylindole,met,160.077,784.02,21740,759.82,776.3
MLMET0121,sample,3_2_Hydroxyethylindole,met,160.077,784.02,34343,757.75,774.23
MLMET0092,sample,3_2_Hydroxyethylindole,met,160.077,784.02,49351,757.51,773.98
MLMET0097,sample,3_2_Hydroxyethylindole,met,160.077,784.02,46939,760.23,776.71
all_ss-r002,stds,3_2_Hydroxyethylindole,met,160.077,784.02,18454,760.19,776.67
MLMET0167,sample,3_2_Hydroxyethylindole,met,160.077,784.02,24223,757.49,773.96
MLMET0075,sample,3_2_Hydroxyethylindole,met,160.077,784.02,66551,757.42,773.89
RCY308_control-r001,control,3_2_Hydroxyethylindole,met,160.077,784.02,21830,760.09,776.56
MLMET0162,sample,3_2_Hydroxyethylindole,met,160.077,784.02,18753,760.3,776.77
MLMET0165,sample,3_2_Hydroxyethylindole,met,160.077,784.02,24132,757.92,774.4
MLMET0164,sample,3_2_Hydroxyethylindole,met,160.077,784.02,23624,758.25,774.73
MLMET0137,sample,3_2_Hydroxyethylindole,met,160.077,784.02,19265,760.86,777.34
MLMET0161,sample,3_2_Hydroxyethylindole,met,160.077,784.02,21573,760.48,776.95
MLMET0181,sample,3_2_Hydroxyethylindole,met,160.077,784.02,23335,757.5,773.98
MLMET0124,sample,3_2_Hydroxyethylindole,met,160.077,784.02,29346,757.85,774.33
MLMET0136,sample,3_2_Hydroxyethylindole,met,160.077,784.02,20034,759.96,776.44
MLMET0183,sample,3_2_Hydroxyethylindole,met,160.077,784.02,26472,760.13,776.61
all_ss-r001,stds,3_2_Hydroxyethylindole,met,160.077,784.02,18667,757.59,774.07
MLMET0178,filter,3_2_Hydroxyethylindole,met,160.077,784.02,23997,757.58,774.06
Blank-r001,blank,3_2_Hydroxyethylindole,met,160.077,784.02,16866,759.8,776.28
MLMET0072,sample,3_2_Hydroxyethylindole,met,160.077,784.02,78859,759.74,776.22
MLMET0166,sample,3_2_Hydroxyethylindole,met,160.077,784.02,20510,757.92,774.39
MLMET0186,sample,3_2_Hydroxyethylindole,met,160.077,784.02,24742,757.9,774.38
MLMET0071,sample,3_2_Hydroxyethylindole,met,160.077,784.02,90388,759.92,776.4
MLMET0098,sample,3_2_Hydroxyethylindole,met,160.077,784.02,44703,759.94,776.42
MLMET0138,sample,3_2_Hydroxyethylindole,met,160.077,784.02,21565,758.28,774.75
MLMET0187,sample,3_2_Hydroxyethylindole,met,160.077,784.02,21811,758.15,774.63
MLMET0141,sample,3_2_Hydroxyethylindole,met,160.077,784.02,19983,760.59,777.07
MLMET0160,sample,3_2_Hydroxyethylindole,met,160.077,784.02,20977,760.76,777.23
MLMET0069,sample,3_2_Hydroxyethylindole,met,160.077,784.02,115943,758.2,774.67
MLMET0184,sample,3_2_Hydroxyethylindole,met,160.077,784.02,23227,757.93,774.41
MLMET0168,sample,3_2_Hydroxyethylindole,met,160.077,784.02,20838,759.44,775.91
MLMET0117,filter,3_2_Hydroxyethylindole,met,160.077,784.02,38949,759.66,776.13
Blank-r002,blank,3_2_Hydroxyethylindole,met,160.077,784.02,18307,758.02,774.49
MLMET0139,sample,3_2_Hydroxyethylindole,met,160.077,784.02,19945,758.03,774.5
MLMET0143,sample,3_2_Hydroxyethylindole,met,160.077,784.02,19223,760.08,776.55
MLMET0066,filter,3_2_Hydroxyethylindole,met,160.077,784.02,92744,759.96,776.44
MLMET0118,sample,3_2_Hydroxyethylindole,met,160.077,784.02,48448,757.92,774.39
MLMET0096,sample,3_2_Hydroxyethylindole,met,160.077,784.02,47719,758.09,774.56
MLMET0095,sample,3_2_Hydroxyethylindole,met,160.077,784.02,43876,760.12,776.6
MLMET0159,filter,3_2_Hydroxyethylindole,met,160.077,784.02,21098,760.26,776.73
MLMET0144,filter,3_2_Hydroxyethylindole,met,160.077,784.02,17037,757.55,774.03
MLMET0073,sample,3_2_Hydroxyethylindole,met,160.077,784.02,89918,757.56,774.03
MLMET0142,sample,3_2_Hydroxyethylindole,met,160.077,784.02,20487,760.38,776.86
MLMET0074,sample,3_2_Hydroxyethylindole,met,160.077,784.02,68315,760.86,777.34
MLMET0183,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,20251,758.63,775.11
MLMET0120,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,37983,758.41,774.88
Blank-r001,blank,3_2_Hydroxyethylindole,ref,162.077,784.02,19337,760.3,776.77
MLMET0137,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,22115,760.36,776.84
MLMET0095,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,36895,758.63,775.1
MLMET0119,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,36329,758.79,775.27
MLMET0168,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,21538,759.93,776.41
MLMET0185,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,20318,760.2,776.68
MLMET0125,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,23321,758.33,774.8
MLMET0117,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,37404,758.16,774.63
MLMET0067,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,62392,760.2,776.67
MLMET0138,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,21543,760.28,776.75
MLMET0098,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,33654,757.94,774.42
MLMET0165,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,21157,757.92,774.4
MLMET0121,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,35157,759.75,776.22
all_ss-r002,stds,3_2_Hydroxyethylindole,ref,162.077,784.02,19798,759.69,776.16
MLMET0069,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,55015,757.7,774.17
MLMET0181,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,17671,757.5,773.98
MLMET0167,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,21139,759.48,775.96
MLMET0118,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,38928,759.42,775.89
RCY308_control-r002,control,3_2_Hydroxyethylindole,ref,162.077,784.02,16329,757.11,773.59
MLMET0097,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,40176,757.24,773.71
RCY308_control-r001,control,3_2_Hydroxyethylindole,ref,162.077,784.02,17583,759.59,776.06
MLMET0094,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,43803,759.69,776.17
MLMET0140,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,20686,758.27,774.75
MLMET0068,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,61671,758.37,774.85
MLMET0090,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,46404,759.81,776.28
MLMET0089,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,48471,759.8,776.27
MLMET0180,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,20688,758.01,774.48
Blank-r002,blank,3_2_Hydroxyethylindole,ref,162.077,784.02,15301,758.02,774.49
MLMET0072,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,52289,759.24,775.72
MLMET0143,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,22750,759.08,775.56
MLMET0073,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,49474,757.56,774.03
MLMET0070,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,49435,757.55,774.02
MLMET0186,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,22074,758.9,775.38
MLMET0141,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,21776,759.1,775.57
MLMET0071,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,50971,757.93,774.4
MLMET0139,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,20247,758.03,774.5
MLMET0162,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,18629,759.8,776.27
MLMET0164,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,22324,759.75,776.22
MLMET0091,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,41669,758.36,774.84
MLMET0182,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,23143,758.1,774.58
MLMET0122,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,33794,759.46,775.93
MLMET0179,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,21593,759.57,776.05
MLMET0159,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,21347,757.76,774.24
MLMET0144,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,16836,757.55,774.03
MLMET0178,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,21192,758.58,775.06
MLMET0116,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,39187,758.7,775.17
MLMET0142,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,18383,757.89,774.36
MLMET0136,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,19562,757.96,774.44
MLMET0124,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,27251,760.85,777.32
MLMET0096,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,42671,760.59,777.06
MLMET0163,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,20489,758.48,774.96
MLMET0074,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,50034,758.87,775.34
MLMET0075,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,45068,758.42,774.89
MLMET0123,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,23156,758.45,774.93
all_ss-r001,stds,3_2_Hydroxyethylindole,ref,162.077,784.02,16898,758.59,775.07
MLMET0166,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,18060,758.42,774.89
MLMET0160,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,20128,759.26,775.73
MLMET0135,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,21228,759.25,775.72
MLMET0066,filter,3_2_Hydroxyethylindole,ref,162.077,784.02,65725,757.96,774.44
MLMET0187,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,17998,758.15,774.63
MLMET0184,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,20854,759.93,776.4
MLMET0093,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,42761,760.34,776.81
MLMET0161,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,23298,757.98,774.45
MLMET0092,sample,3_2_Hydroxyethylindole,ref,162.077,784.02,40554,758.01,774.48
MLMET0093,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,29346,786.3,798.78
MLMET0136,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,15003,785.92,798.4
Blank-r002,blank,2_3_Pyridinedicarboxylic_acid,met,166.015,792,4471,783.98,796.46
MLMET0091,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,33719,784.32,796.8
MLMET0181,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,11240,787.46,799.94
MLMET0185,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8278,787.66,800.14
MLMET0090,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,20290,785.27,797.75
MLMET0123,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,14055,784.91,797.39
MLMET0066,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,29260,787.42,799.9
MLMET0183,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,12299,787.59,800.07
MLMET0069,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,110584,785.65,798.13
MLMET0184,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,9682,785.39,797.87
MLMET0068,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,130639,787.33,799.81
MLMET0094,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,29730,787.65,800.13
MLMET0125,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8694,785.78,798.26
MLMET0187,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8298,785.61,798.09
MLMET0092,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,31476,787.46,799.94
MLMET0137,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,12164,787.82,800.3
MLMET0160,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,15715,785.72,798.2
MLMET0143,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,11079,785.54,798.02
MLMET0135,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,11603,788.2,800.68
RCY308_control-r002,control,2_3_Pyridinedicarboxylic_acid,met,166.015,792,10332,788.07,800.55
MLMET0095,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,33815,786.08,798.56
MLMET0124,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,21187,786.31,798.79
MLMET0070,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,161672,788,800.48
MLMET0067,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,36052,788.15,800.63
MLMET0161,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,12926,784.94,797.42
MLMET0182,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,9619,785.06,797.54
MLMET0098,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,27106,787.9,800.38
MLMET0116,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,15688,788.15,800.64
MLMET0168,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8300,786.39,798.87
MLMET0140,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,12506,786.73,799.21
MLMET0180,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,9932,788.46,800.94
MLMET0117,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,19503,788.61,801.09
MLMET0186,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8517,785.86,798.34
MLMET0120,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,24444,785.87,798.35
RCY308_control-r001,control,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8454,788.05,800.53
MLMET0138,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,16343,788.23,800.72
MLMET0178,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8205,785.54,798.02
MLMET0163,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,13457,785.44,797.92
MLMET0139,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,10398,787.98,800.46
MLMET0162,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,15854,788.25,800.73
MLMET0072,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,127966,786.2,798.68
MLMET0122,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,23566,785.92,798.4
MLMET0144,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,7617,788.5,800.98
MLMET0165,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,11578,788.38,800.86
MLMET0097,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,26233,786.19,798.67
MLMET0073,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,165237,786.01,798.49
MLMET0118,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,62739,787.37,799.86
MLMET0089,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,19674,787.75,800.23
all_ss-r001,stds,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8621,786.55,799.03
Blank-r001,blank,2_3_Pyridinedicarboxylic_acid,met,166.015,792,6502,786.76,799.24
MLMET0142,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,11451,787.34,799.82
MLMET0075,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,53676,787.37,799.85
MLMET0164,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,13858,786.21,798.69
MLMET0096,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,26039,786.05,798.53
MLMET0141,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,11966,788.05,800.53
MLMET0167,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,12797,787.94,800.42
MLMET0121,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,35174,785.71,798.19
all_ss-r002,stds,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8018,785.65,798.13
MLMET0159,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,9314,788.21,800.69
MLMET0074,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,97741,787.82,800.3
MLMET0179,filter,2_3_Pyridinedicarboxylic_acid,met,166.015,792,8141,786.53,799.01
MLMET0071,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,95742,786.38,798.86
MLMET0166,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,9942,787.37,799.86
MLMET0119,sample,2_3_Pyridinedicarboxylic_acid,met,166.015,792,41237,787.75,800.23
MLMET0124,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,13045,786.81,799.29
MLMET0185,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11524,786.66,799.14
MLMET0066,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,37493,787.42,799.9
MLMET0181,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,8350,787.46,799.94
MLMET0093,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,29051,785.8,798.28
MLMET0123,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,12993,785.41,797.89
MLMET0136,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,10645,787.92,800.4
MLMET0184,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,12132,787.88,800.37
Blank-r002,blank,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,5228,785.48,797.96
MLMET0135,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,10475,785.71,798.19
MLMET0094,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,24043,787.15,799.63
MLMET0164,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,10874,787.21,799.69
MLMET0070,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,35584,786.5,798.98
MLMET0165,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,12971,786.38,798.86
MLMET0160,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11271,788.72,801.19
MLMET0166,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11199,788.37,800.85
MLMET0067,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,36937,786.16,798.64
MLMET0069,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,40437,786.15,798.63
MLMET0125,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,12307,788.28,800.76
MLMET0163,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,12304,787.94,800.42
MLMET0073,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,32056,786.01,798.49
MLMET0096,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,26739,786.05,798.53
MLMET0187,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,10524,789.1,801.59
MLMET0183,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,9729,789.09,801.57
MLMET0161,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,12385,785.94,798.42
MLMET0092,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,25059,785.96,798.45
MLMET0120,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,23369,787.37,799.85
MLMET0068,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,38039,787.33,799.81
MLMET0138,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,12175,785.74,798.22
MLMET0142,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,9840,785.34,797.83
RCY308_control-r001,control,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,7202,786.55,799.03
MLMET0071,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,34348,786.38,798.86
MLMET0143,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11684,785.54,798.02
MLMET0098,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,26865,785.4,797.88
MLMET0186,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11826,787.36,799.84
MLMET0144,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11749,787.5,799.99
MLMET0095,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,32430,785.58,798.06
MLMET0162,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11038,785.76,798.24
MLMET0182,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11502,787.06,799.54
RCY308_control-r002,control,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,7587,787.07,799.55
MLMET0167,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,10782,786.44,798.92
MLMET0137,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11720,786.82,799.3
all_ss-r001,stds,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,6255,787.05,799.53
MLMET0097,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,26111,787.19,799.67
MLMET0116,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,24396,785.16,797.64
MLMET0090,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,25184,785.27,797.75
MLMET0140,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,10451,786.73,799.21
MLMET0121,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,22005,786.71,799.19
MLMET0089,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,26087,785.26,797.74
MLMET0117,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,21355,785.12,797.6
MLMET0168,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,13095,787.39,799.87
MLMET0139,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,11077,787.48,799.96
MLMET0178,filter,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,10304,785.54,798.02
MLMET0180,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,10850,785.47,797.95
MLMET0141,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,9732,787.05,799.53
all_ss-r002,stds,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,7649,787.15,799.63
MLMET0119,sample,2_3_Pyridinedicarboxylic_acid,ref,174.036,792,21797,785.75,798.23
